autor,calificacion,contenido,hotel,titulo
Thiago K,50,"Very fun tour. Had Sammy,, Rick and Elena as our skipper and hosts. Just amazing. Definitely recommend. Good history with wine and cheese to go along. ","Amsterdam Classic Boat Cruise with Live Guide, Drinks and Cheese",Very nice 
Thiago K,50,"Great stay with my family. Came for the Copa Libertadores final. Hotel was fully booked with lots of fans, but the service was very good. Prices at the restaura,...",Radisson Hotel Guayaquil,Great service at great price
Thiago K,30,"Went to dinner with a couple of friends. We arrived at 8:30pm and the place was almost empty apart from a few tables sitting 2-3 each. At arrival we were inform,...",Cantón Peruvian & Chinese Food - Niterói,"Good food, OK price, bad service"
Thiago K,40,"Had heard some nice things about the place and decided to check it out for a Sunday lunch. We ordered the Arancini as a starter and it was just wonderful, cru,...",Posi Mozza & Mare,Good Italian with reasonable price
Thiago K,50,"A true gastronomic experience in a cozy and vibey environment at great price!!!Super talented chef, amazing dishes. Was taken back my childhood eating their F,...",Refresc House,Brazilian Must in Barcelona
Geoffrey W,40,Great food - a little more high end and much better than the street food. Feels clean and fresh ingredients. A little more expensive for the four star.,Nhà Hàng Nhà Bếp Của Việt Nam,Comfortable and solid food
Geoffrey W,20,"Booked out hotel to stay a day for our trip to galapagos. We were on the top floor of the hotel, but there was a party in the lobby cafe that was reserved by ,...",Hotel Puerto Pacifico Guayaquil Airport,Noisy hotel - booked out for a party
Geoffrey W,50,"What a great establishment. Huge variety of craft beer that changes everytime you go. You’ll also have the time of your life and meet lots of friendly stranger,...",99 Bottles,Great establishment
Geoffrey W,50,"First day in my 2 day tour to Hoi An. I didn't know what to expect, but glad I chose this over other means of transport to Hoi An from Hue. You get a unique pe,...",Hue Riders,Unique perspective of Vietnam
306zinagomes,50,"Amazing time. The staff was friendly and kind. Thank you for being part of this amazing experience. From the moment we were picked up from the airport, to the c,...",Wyndham Garden Guayaquil,"Gracias ECU, Gracias Wyndham"
,50,"Beautiful hotel, nice rooms and the staff is extremely helpful. Gentleman at the front desk is well dressed and very informative and helped direct us throughout,...",Hotel Palace Guayaquil,Location and services
pe4all4,50,"We have been to the casino many times, but this was the first time we stayed in the hotel as guests.  Our check in was quick and easy.  We were given a room in ,...",Seminole Hard Rock Hotel & Casino Hollywood,First stay- will not be our last!
pe4all4,50,"From the moment we walked in until the moment we left we could not have had a better experience!  This was our first time ever in a bed and breakfast, and Ben w,...",River Run Bed & Breakfast,River Run B and B - great first experience
pe4all4,40,"Stayed in a double room 8/10/23-8/13/23.  Asked for early checkin on 8/10 a we were dropping things off for our daughter's wedding on 8/12, and received it.  Yo,...",Hyatt Regency Long Island,Wedding pre and post visit.
pe4all4,50,"Got to hotel at 12:45 pm and our room was ready.  Checkin quick and easy.  Was assigned room 603- large corner room w 2 double beds and sofa bed overlooking bay,...","Holiday Inn Port of Miami-Downtown, an IHG Hotel",Another great stay- but no more Holiday Inn soon
pe4all4,50,"Stayed at this hotel after arriving back from a galapgos cruise.  What a beautiful hotel!  I have stayed at many IHG properties but this surpassed them all in d,...",Holiday Inn Guayaquil Airport,One of the nicest holiday inns ever!
pe4all4,50,"From the moment we checked in until the moment we checked out we were impressed with the wonderful staff.  With a welcome drink of punch waiting for us to the d,...",Finch Bay Galapagos Hotel,Wow!
pe4all4,50,"We stayed at this hotel for 2 nights before a Flying to baltra. .  From the moment we checked in until leaving we were impressed with the service, rooms and als,...",Wyndham Guayaquil,Great stay and service
pe4all4,,"Thank you for your review.  We head to Guayaquil Thursday to spend 2 days there, then fly to Baltra and spend 2 days at Finch Bay Resort, then onto the Legend f,...",Galapagos Islands,
pe4all4,,"I would also love to have our ""replacement"" hotel switched back to Galapagos Habitat/Blu.  We leave 8/11, so hopefully things will be resolved by then.",Puerto Ayora,
